title,artist,year,decade,lyrics
Watermelon Sugar,Harry Styles,2020,2020s,"177 ContributorsTranslationsDeutschTürkçeEspañolPortuguêsPolskiNorskČeskyDanskItalianoSvenskaWatermelon Sugar LyricsIn “Watermelon Sugar”, Harry Styles recalls a summer past, singing of scrumptious berries and a former love. The song was released without warning to fans, less than an hour before he performed the track… Read More 
Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want more berries and that summer feelin'
It's so wonderful and warm

Breathe me in, breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar

Strawberries on a summer evenin'
Baby, you're the end of June
I want your belly and that summer feelin'
Getting washed away in you

Breathe me in, breathe me out
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high

I just wanna taste it, I just wanna taste it
Watermelon sugar high

Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want your belly and that summer feelin'
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high (Sugar)
Watermelon sugar high (Sugar)
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high

I just wanna taste it, I just wanna taste it (Eh-eh-eh)
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Ooh, yeah)
Watermelon sugar high
Watermelon sugar"
drivers license,Olivia Rodrigo,2021,2020s,"424 ContributorsTranslationsTürkçeEspañolРусский (Russian)PortuguêsPortuguêsNorsk日本語 (Japanese)ItalianoDeutschFrançaisفارسیDanskहिन्दी (Hindi)PolskiNederlandsالعربية繁體中文 (Traditional Chinese)MagyarsrpskiУкраїнськаČeskyБългарскиdrivers license Lyrics“drivers license” is Olivia Rodrigo’s debut single. It is a rumored love ode about moving on from her past relationship with Joshua Bassett, who supposedly started dating Sabrina Carpenter, by doing the one… Read More 
I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today, I drove through the suburbs
'Cause how could I ever love someone else?

And I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today, I drove through the suburbs
And pictured I was driving home to you

And I know we weren't perfect, but I've never felt this way for no one, oh
And I just can't imagine how you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic, we're laughing
Over all the noise
God, I'm so blue, know we're through
But I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)

I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

Yeah, you said forever, now I drive alone past your street"
good 4 u,Olivia Rodrigo,2021,2020s,"291 ContributorsTranslationsEspañolTürkçeSvenskaPortuguêsPortuguês日本語 (Japanese)ItalianoMagyarDeutschFrançais繁體中文 (Traditional Chinese)العربيةNorskРусский (Russian)한국어 (Korean)srpskiPolskiNederlandsČeskyCatalàעברית (Hebrew)good 4 u Lyrics“good 4 u” is the third single from Olivia Rodrigo’s debut studio album, SOUR. The song’s hook is laced with sarcasm, as Olivia sharply addresses her former partner for quickly moving on from their… Read More 
(Ah)

Well, good for you, I guess you moved on really easily
You found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world?
(World)
And good for you, I guess that you've been workin' on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand-new girl (Girl)

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you're gettin' everything you want (Ah)
You bought a new car and your career's really takin' off (Ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ah)
And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you? Well, screw that, and screw you
You will never have to hurt the way you know that I do

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

(Ah-ah-ah-ah)
(Ah-ah-ah-ah)

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
Like a damn sociopath
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you moved on really easily"
Stay,The Kid Laroi,2021,2020s,"180 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoDeutschFrançaisفارسیРусский (Russian)УкраїнськаSvenskaEspañolSTAY Lyrics“STAY” is a collaboration between The Kid LAROI and Justin Bieber which details LAROI’s wish for his lover’s forgiveness and Bieber’s admiration for his significant other.

The song was first previewed on… Read More 
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can’t find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I’ll be fucked up if you can't be right here

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

When I’m away from you, I miss your touch (Ooh)
You’re the reason I believe in love
It's been difficult for me to trust (Ooh)
And I’m afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain’t ever left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

Woah-oh
I need you to stay, need you to stay, hey"
As It Was,Harry Styles,2022,2020s,"224 ContributorsTranslationsTürkçeEspañolPortuguês日本語 (Japanese)ItalianoΕλληνικάDeutschFrançaisFilipinoفارسیNederlandsShqipPolskiРусский (Russian)हिन्दी (Hindi)Česky한국어 (Korean)ไทย (Thai)MagyarУкраїнськаTiếng ViệtRomânăSlovenčinaAs It Was LyricsThe lead single from his third album Harry’s House, “As It Was” sees Styles singing in a somewhat sorrowful voice about his bittersweet feelings of loneliness and the past, masking it with synths and an… Read More 
Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was"
Anti-Hero,Taylor Swift,2022,2020s,"220 ContributorsTranslationsPortuguêsEspañolTürkçeFrançais简体中文 (Simplified Chinese)NederlandsDeutschไทย (Thai)ItalianoSvenskaУкраїнськаsrpskiBahasa IndonesiaРусский (Russian)MagyarTiếng ViệtČeskySlovenščinaPortuguês한국어 (Korean)PolskiAnti-Hero LyricsDescribed by Taylor herself as “one of my favorite songs that I have ever written”, “Anti-Hero” is the scintillating lead single from Midnights, her tenth studio album. Largely serving as a parallel to 2019’s… Read More 
I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift, all of the people
I've ghosted stand there in the room

I should not be left to my own devices
They come with prices and vices
I end up in crisis
(Tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
'Cause you got tired of my scheming
(For the last time)

It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

Sometimes, I feel like everybody is a sexy baby
And I'm a monster on the hill
Too big to hang out, slowly lurching toward your favorite city
Pierced through the heart, but never killed

Did you hear my covert narcissism I disguise as altruism
Like some kind of congressman?
(A tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
And life will lose all its meaning
(For the last time)

It's me, hi
I'm the problem, it's me (I'm the problem, it's me)
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

I have this dream my daughter-in-law kills me for the money
She thinks I left them in the will
The family gathers 'round and reads it and then someone screams out
""She's laughing up at us from Hell""

It's me, hi
I'm the problem, it's me
It's me, hi
I'm the problem, it's me
It's me, hi
Everybody agrees, everybody agrees

It's me, hi (Hi)
I'm the problem, it's me (I'm the problem, it's me)
At teatime (Teatime), everybody agrees (Everybody agrees)
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero"
About Damn Time,Lizzo,2022,2020s,"88 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoहिन्दी (Hindi)RomânăAbout Damn Time Lyrics“About Damn Time” is Lizzo’s first release in 2022, and the lead single for her senior studio album, Special. This song comes after her short hiatus from her previous collaborative single, “Rumors”, with… Read More 
Anyway

It's bad bitch o'clock, yeah, it's thick-thirty
I've been through a lot, but I'm still flirty (Okay)
Is everybody back up in the buildin'?
It's been a minute, tell me how you're healin'
'Cause I'm about to get into my feelings
How you feelin'? How you feel right now?

Oh, I been so down and under pressure
I'm way too fine to be this stressed, yeah
Oh, I'm not the girl I was or used to be, uh
Bitch, I might be better

Turn up the music, turn down the lights
I got a feelin' I'm gon' be alright
Okay (Okay), alright
It's about damn time (Time)
Turn up the music, let's celebrate (Alright)
I got a feelin' I'm gon' be okay
Okay (Okay), alright
It's about damn time

In a minute, I'ma need a sentimental
Man or woman to pump me up
Feelin' fussy, walkin' in my Balenci-ussies
Tryna bring out the fabulous
'Cause I give a fuck way too much
I'ma need like two shots in my cup
Wanna get up, wanna get down
Mm, that's how I feel right now

Oh, I been so down and under pressure
I'm way too fine to be this stressed, yeah
Oh, I'm not the girl I was or used to be, uh
Bitch, I might be better

Turn up the music, turn down the lights
I got a feelin' I'm gon' be alright
Okay (Okay), alright
It's about damn time (Time)
Turn up the music, let's celebrate (Alright)
I got a feelin' I'm gon' be okay
Okay (Okay), alright
It's about damn time

Bitch
'Cause, uh, you know what time it is, uh
I'm comin' out tonight, I'm comin' out tonight (Uh-huh)
I'm comin' out tonight, I'm comin' out tonight (Woo)
I'm comin' out tonight, I'm comin' out tonight
Okay (Okay), alright (Alright)
It's about damn time
I'm comin' out tonight (Let's go), I'm comin' out tonight (Comin' out tonight)
I'm comin' out tonight, I'm comin' out tonight (Woo)
I'm comin' out tonight, I'm comin' out tonight (Comin' out tonight)
Okay (Okay), alright
It's about damn time (Oh)

Bitch
Yeah, yeah
It's about damn time"
Heat Waves,Glass Animals,2022,2020s,"176 ContributorsTranslationsItalianoDeutschFrançaisTürkçeEspañolHeat Waves Lyrics“Heat Waves” is the fourth single from UK band Glass Animals' third studio album Dreamland. The song features a melancholy tone but maintains high energy through its instrumental, with Dave speaking on… Read More 
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror"
Flowers,Miley Cyrus,2023,2020s,"111 ContributorsTranslationsEspañolPortuguêsKiswahiliDeutschItalianosrpskiNederlandsSvenskaPolskiTürkçeΕλληνικάFrançaisDansk日本語 (Japanese)Русский (Russian)العربيةУкраїнськаBahasa IndonesiaفارسیČeskyFlowers Lyrics“Flowers” is the lead single from Miley Cyrus' eighth studio album Endless Summer Vacation. The song speaks about her past relationship with ex-husband Liam Hemsworth, releasing the track on his birthday… Read More 
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said

Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)

I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers (Uh-huh)
Write my name in the sand
Talk to myself for hours (Yeah)
Say things you don't understand (You never will)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can

Can love me better, I can love me better, baby (Uh)
Can love me better, I can love me better, baby (Than you can)
Can love me better, I can love me better, baby
Can love me better, I"
Kill Bill,SZA,2023,2020s,"171 ContributorsTranslationsEspañolPortuguêsItalianoTürkçeDeutschNederlands日本語 (Japanese)සිංහලΕλληνικάРусский (Russian)Bahasa IndonesiaFrançaisالعربيةSvenskaKill Bill Lyrics“Kill Bill” is the third single off of SZA’s sophomore full-length studio album, SOS. The harmonious murder ballad surrounds the topics of heartbreak and betrayal, resulting in SZA seeking revenge on her ex.
… Read More 
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should

I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I get the sense that it's a lost cause
I get the sense that you might really love her
This text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crime of passion, but damn
You was out of reach
You was at the farmer's market with your perfect peach
Now I'm in the basement plannin' home invasion
Now you layin' face-down, got me singin' over a beat

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will

I might (I)
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I did it all for love (Love)
I did it all on no drugs (Drugs)
I did all of this sober
I did it all for us, oh
I did it all for love (Love)
I did all of this on no drugs (Drugs)
I did all of this sober
Don't you know I did it all for us? (I'm gon' kill your ass tonight)

Oh, I just killed my ex (My ex, oops), not the best idea (Idea)
Killed his girlfriend next, how'd I get here? (He left me no choice)
I just killed my ex (My ex), I still love him though (I do)
Rather be in Hell than alone"
Vampire,Olivia Rodrigo,2023,2020s,"231 ContributorsTranslationsEspañolFrançaisDeutschPortuguêsShqip简体中文 (Simplified Chinese)日本語 (Japanese)ItalianoTürkçe한국어 (Korean)Русский (Russian)PolskiУкраїнськаالعربيةSvenskaBahasa Indonesiaעברית (Hebrew)فارسیNederlandsČeskyhrvatskiБеларускаяsrpskiCatalàvampire Lyrics“vampire” doubles as the lead single from Olivia Rodrigo’s sophomore album, GUTS, as well as her comeback single following the release of her debut album, SOUR, in 2021. A small number of lyrics for the track… Read More 
Hate to give the satisfaction asking how you're doing now
How's the castle built off people you pretend to care about?
Just what you wanted
Look at you, cool guy, you got it
I see the parties and the diamonds sometimes when I close my eyes
Six months of torture you sold as some forbidden paradise
I loved you truly
You gotta laugh at the stupidity

'Cause I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire

And every girl I ever talked to told me you were bad, bad news
You called them crazy, God, I hate the way I called them crazy too
You're so convincing
How do you lie without flinching? (How do you lie? How do you lie? How do you lie?)
Ooh, what a mesmerizing, paralyzing, fucked up little thrill
Can't figure out just how you do it and God knows I never will
Went for me and not her
'Cause girls your age know better

I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire

(Ah)
You said it was true love, but wouldn't that be hard?
You can't love anyone 'cause that would mean you had a heart
I tried to help you out, now I know that I can't
'Cause how you think's the kind of thing I'll never understand

I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire"
Cruel Summer,Taylor Swift,2023,2020s,"237 ContributorsTranslations한국어 (Korean)TürkçeEspañolsrpskiPortuguêsPolskiItalianoMagyarDeutschFrançaisفارسی简体中文 (Simplified Chinese)Русский (Russian)العربيةУкраїнськаSvenskaไทย (Thai)Tiếng ViệtČeskySlovenščinaCatalàעברית (Hebrew)Cruel Summer Lyrics“Cruel Summer” narrates the fragility and uncertainty at the beginning of Taylor’s relationship with Joe Alwyn. The two met officially at the Met Gala in May 2016, although she was dating DJ Calvin Harris at… Read More 
(Yeah, yeah, yeah, yeah)

Fever dream high in the quiet of the night
You know that I caught it (Oh yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (Oh yeah, you're right, I want it)

Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more

And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

Hang your head low in the glow of the vending machine
I'm not dying (Oh yeah, you're right, I want it)
We say that we'll just screw it up in these trying times
We're not trying (Oh yeah, you're right, I want it)

So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know, oh

It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinnin' like a devil

It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(Yeah, yeah, yeah, yeah)"
Last Night,Morgan Wallen,2023,2020s,"39 ContributorsTranslationsPortuguêsDeutschCatalàFrançaisEspañolLast Night Lyrics
Last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet

No way it was our last night I kissed your lips
Make you grip the sheets with your fingertips
Last bottle of Jack, we split a fifth
Just talkin' 'bout life, goin' sip for sip
Yeah, you, you know you love to fight
And I say shit I don't mean
But I'm still gon' wake up wantin' you and me

I know that last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)

No way it was the last night that we break up
I see your tail lights in the dust
You call your mama, I call your bluff
In the middle of the night, pull it right back up
Yeah, my, my friends say, ""Let her go""
Your friends say, ""What the hell?""
I wouldn't trade your kind of love for nothin' else

Oh, baby, last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night, we said we'd had enough
I can't remember everything we said, but we said too much
I know you packed your shit and slammed the door right before you left
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)

I know you said this time you really weren't comin' back again
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night (Last night)
No way it was our last night (Last night)"
Paint The Town Red,Doja Cat,2023,2020s,"136 ContributorsTranslationsTürkçeDeutschEspañolPortuguêsFrançaisРусский (Russian)PolskiBahasa IndonesiaPaint The Town Red Lyrics
By
Walk on by
Walk on by
Walk on by
Walk on by

Yeah, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don’t care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

Mm, she the devil
She a bad lil’ bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle (Yeah, yeah)

Said my happiness is all of your misery
I put good dick all in my kidneys
This Margiel' don't come with no jealousy
My illness don't come with no remedy
I am so much fun without Hennessy
They just want my love and my energy
You can't talk no shit without penalties
Bitch, I’m in yo’ shit if you send for me
I'm going to glow up one more time
Trust me, I have magical foresight
You gon’ see me sleepin' in courtside
You gon' see me eatin' ten more times
Ugh, you can’t take that bitch nowhere
Ugh, I look better with no hair
Ugh, ain't no sign I can't smoke here
Ugh, gimme the chance and I'll go there (Yeah)

Yeah, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle (Yeah, yeah)

Said pop make money, now you try, bitch
You could use a revamp with a new vibe, sis
I don't need a big feature or a new sidekick
I don't need a new fan 'cause my boo like it
I don't need to wear a wig to make you like it
I'm a two-time bitch, you ain't knew I'd win?
Throw a shot like you tryna have a food fight then
All my opps waitin' for me to be you, I bet
Said I got drive, I don't need a car
Money really all that we fiendin' for
I'm doin' things they ain't seen before
Fans ain't dumb, but extremists are
I'm a demon lord
Fall off what? I ain't seen the horse
Called your bluff, better cite the source
Fame ain't somethin' that I need no more

'Cause, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle

Walk on by
Walk on by
Walk on by
Walk on by
Walk on by"
